Score,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1397,WAS,NYG,DAL,SF,MIA,JAX,SEA,BUF,CLV,CIN,LAC,NO,NYJ,BLT,PIT,KC,PHI,DEN
1397,WAS,BUF,DAL,PHI,DET,JAX,SEA,BLT,NE,LAC,MIA,KC,PIT,CIN,CLV,NYJ,NYG,SF
1397,BLT,DEN,JAX,SF,PHI,MIA,SEA,BUF,CLV,LAC,DET,DAL,NYJ,CIN,PIT,KC,NYG,NO
1397,BLT,BUF,JAX,PHI,CIN,MIA,SEA,DAL,CLV,NE,LAC,NO,PIT,NYJ,TEN,KC,NYG,SF
1397,WAS,NYG,DAL,SF,CIN,BUF,SEA,LAC,CLV,NE,JAX,KC,MIA,BLT,PIT,NYJ,PHI,NO
1397,BLT,BUF,JAX,SF,PHI,LAR,SEA,DAL,CLV,CIN,MIA,TEN,PIT,NYJ,LAC,KC,NYG,NO
1397,WAS,BUF,DAL,PHI,CIN,JAX,SEA,BLT,NE,LAC,SF,KC,PIT,MIA,CLV,NYJ,NYG,NO
1397,BLT,BUF,DET,SF,CIN,JAX,SEA,DAL,CLV,LAC,MIA,KC,PIT,NYJ,TEN,PHI,NYG,NO
1397,BLT,BUF,CIN,SF,PHI,JAX,SEA,DAL,NE,LAC,MIA,KC,PIT,NYJ,TEN,CLV,NYG,NO
1397,WAS,NYG,CLV,SF,CIN,JAX,SEA,DAL,NE,BUF,MIA,KC,PIT,BLT,LAC,NYJ,PHI,NO
1397,WAS,NYG,KC,SF,PHI,MIA,SEA,BUF,CLV,CIN,DAL,TEN,PIT,BLT,LAC,NYJ,JAX,NO
1397,WAS,DEN,DAL,SF,PHI,MIA,PIT,BUF,CLV,CIN,SEA,JAX,NYJ,BLT,LAC,KC,NYG,NO
1397,WAS,BUF,DAL,LAC,CIN,JAX,SEA,BLT,CLV,PIT,DET,NO,NYJ,MIA,TEN,KC,PHI,SF
1397,BLT,NYG,JAX,LAC,CIN,LAR,SEA,BUF,NE,PIT,MIA,DAL,NYJ,NO,CLV,KC,PHI,SF
1396,BLT,NYG,CIN,SF,MIA,JAX,SEA,BUF,NE,PIT,LAC,DAL,CLV,NYJ,TEN,KC,PHI,NO
1396,WAS,BUF,DAL,LAC,CIN,JAX,SEA,BLT,CLV,PIT,SF,KC,NYJ,MIA,TEN,CHI,PHI,NO
1396,BLT,NYG,DAL,LAC,CIN,JAX,SEA,BUF,NE,PIT,SF,KC,CLV,MIA,TEN,NYJ,PHI,NO
1396,BLT,NYG,CIN,SF,MIA,JAX,SEA,BUF,NE,PIT,LAC,DAL,CLV,NYJ,TEN,KC,PHI,NO
1396,BLT,NYG,DAL,SF,CIN,JAX,SEA,BUF,NE,LAC,DET,KC,PIT,MIA,CLV,NYJ,PHI,NO
1396,WAS,BUF,CIN,SF,PHI,JAX,SEA,DAL,CLV,LAC,DET,KC,MIA,BLT,PIT,NYJ,NYG,NO
1395,WAS,BUF,CLV,SF,CIN,JAX,SEA,BLT,NE,LAC,MIA,DAL,NYJ,NYG,PIT,KC,PHI,NO
1395,BLT,BUF,CIN,SF,PHI,JAX,SEA,DAL,CLV,PIT,MIA,MIN,NYJ,LAC,TEN,KC,NYG,NO
1395,WAS,NYG,DAL,LAC,CIN,BUF,SEA,BLT,NE,PIT,SF,JAX,NYJ,MIA,CLV,KC,PHI,NO
1395,SEA,BUF,DAL,SF,PHI,JAX,PIT,LAC,CLV,CIN,MIA,KC,NYJ,BLT,TEN,CHI,NYG,NO
